Exchange|Security Type|Symbol|Root symbol (for opt|Listed Currency|Company name|Additional company n|ISIN code|Contract name|Local instrument cod|Country|Market specific secu|Market specific segm|Listing market for t|Original exchange co|Exchange code|QS Symbol Suffix|Sedol|MS Performance ID|Global ID investment|MS Listing Exchange |MS Extended Support |Morningstar ID|Fund Type
146|2|AGL7M2100|AGL|AUD|||AU000AGLJT98|24-JAN-17 POPT2100 [AGLJT9]|AGLJT9|AU|||146||XASX|ax|||||0||
146|2|AGL7M2150|AGL|AUD|||AU000AGLKA96|24-JAN-17 POPT2150 [AGLKA9]|AGLKA9|AU|||146||XASX|ax|||||0||
146|2|AGL7M2200|AGL|AUD|||AU000AGLJV94|24-JAN-17 POPT2200 [AGLJV9]|AGLJV9|AU|||146||XASX|ax|||||0||
146|2|AGL7M2250|AGL|AUD|||AU000AGLKC94|24-JAN-17 POPT2250 [AGLKC9]|AGLKC9|AU|||146||XASX|ax|||||0||
146|2|AGL7M2300|AGL|AUD|||AU000AGLK894|24-JAN-17 POPT2300 [AGLK89]|AGLK89|AU|||146||XASX|ax|||||0||
146|2|AGL7M2350|AGL|AUD|||AU000AGLKM92|24-JAN-17 POPT2350 [AGLKM9]|AGLKM9|AU|||146||XASX|ax|||||0||
146|2|AGL7M2400|AGL|AUD|||AU000AGLKP99|24-JAN-17 POPT2400 [AGLKP9]|AGLKP9|AU|||146||XASX|ax|||||0||
146|2|AGL7M2450|AGL|AUD|||AU000AGLL298|24-JAN-17 POPT2450 [AGLL29]|AGLL29|AU|||146||XASX|ax|||||0||
146|2|AGL7N1475|AGL|AUD|||AU000AGLMZ95|23-FEB-17 POPT1475 [AGLMZ9]|AGLMZ9|AU|||146||XASX||||||0||
146|2|AGL7N1500|AGL|AUD|||AU000AGLMT93|23-FEB-17 POPT1500 [AGLMT9]|AGLMT9|AU|||146||XASX|ax|||||0||
146|2|AGL7N1550|AGL|AUD|||AU000AGLM890|23-FEB-17 POPT1550 [AGLM89]|AGLM89|AU|||146||XASX|ax|||||0||
146|2|AGL7N1600|AGL|AUD|||AU000AGLMK92|23-FEB-17 POPT1600 [AGLMK9]|AGLMK9|AU|||146||XASX|ax|||||0||
146|2|AGL7N1650|AGL|AUD|||AU000AGLM494|23-FEB-17 POPT1650 [AGLM49]|AGLM49|AU|||146||XASX|ax|||||0||
146|2|AGL7N1700|AGL|AUD|||AU000AGLMM90|23-FEB-17 POPT1700 [AGLMM9]|AGLMM9|AU|||146||XASX|ax|||||0||
146|2|AGL7N1750|AGL|AUD|||AU000AGLM692|23-FEB-17 POPT1750 [AGLM69]|AGLM69|AU|||146||XASX|ax|||||0||
146|2|AGL7N1800|AGL|AUD|||AU000AGLM296|23-FEB-17 POPT1800 [AGLM29]|AGLM29|AU|||146||XASX|ax|||||0||
146|2|AGL7N1850|AGL|AUD|||AU000AGLMG98|23-FEB-17 POPT1850 [AGLMG9]|AGLMG9|AU|||146||XASX|ax|||||0||
146|2|AGL7N1900|AGL|AUD|||AU000AGLLZ96|23-FEB-17 POPT1900 [AGLLZ9]|AGLLZ9|AU|||146||XASX|ax|||||0||
146|2|AGL7N1950|AGL|AUD|||AU000AGLMI96|23-FEB-17 POPT1950 [AGLMI9]|AGLMI9|AU|||146||XASX|ax|||||0||
